@relation Dataset

@attribute RoubodeVeículos  REAL
@attribute FurtodeVeículos  REAL
@attribute RoubodeObjetos REAL
@attribute FurtodeObjetos REAL
@attribute PerdadeObjetos REAL
@attribute FurtodeFiosouCabo REAL
@attribute DesaparecimentodePessoas REAL
@attribute AcidentedeTrânsitosemVítima REAL
@attribute AcidentedeTrânsitocomVítima REAL
@attribute InjúriaCalúniaouDifamação REAL
@attribute ViolênciaDoméstica REAL
@attribute Violência-LesãoCorporal REAL
@attribute ViolênciaHomicídio/tentativa REAL
@attribute ViolênciaEstupro REAL
@attribute ViolênciaLatrocinio REAL
@attribute DEPAProteçãoAnimal REAL
@attribute OutrasOcorrências REAL
@attribute Pontuação REAL
@attribute Classificação {Verde,Amarela,Vermelha}

@DATA
14,51,45,189,249,4,1,120,3,203,35,94,12,4,3,4,10,3415,Verde
20,56,53,243,232,9,5,79,6,168,70,105,4,4,2,3,6,4127,Vermelha
9,61,59,189,228,7,8,117,0,166,60,96,10,7,1,2,5,3795,Vermelha
14,63,63,199,248,3,9,119,6,210,48,101,8,6,1,4,9,3928,Vermelha
11,41,71,223,221,1,11,109,2,193,54,112,18,0,0,0,8,4072,Vermelha
14,37,32,244,182,7,6,120,1,177,37,110,4,3,3,1,10,3447,Verde
4,37,43,235,230,8,11,92,3,162,61,83,13,7,4,2,7,3721,Vermelha
9,43,50,232,245,4,15,63,8,188,48,93,11,8,4,0,6,3836,Vermelha
1,50,37,177,246,5,0,106,6,168,41,106,12,5,0,0,5,3185,Verde
8,45,51,223,244,4,13,113,5,189,47,98,5,1,3,3,7,3695,Amarela
7,49,51,171,210,1,15,105,2,207,60,83,14,7,2,1,9,3618,Amarela
13,40,73,166,237,9,5,83,4,197,70,104,7,3,4,3,9,3858,Vermelha
11,39,48,169,203,2,10,108,2,152,45,82,4,4,2,1,6,3172,Verde
7,57,69,163,221,9,1,65,2,182,65,99,19,4,3,4,5,3771,Vermelha
2,44,65,179,186,2,12,60,0,163,69,98,14,2,3,2,7,3695,Amarela
8,52,69,224,216,8,14,120,7,155,66,94,20,5,4,3,9,4256,Vermelha
2,45,37,183,183,6,10,90,3,176,53,104,20,2,2,4,5,3399,Verde
13,68,58,195,222,5,9,105,4,167,51,93,3,6,2,1,6,3726,Vermelha
12,37,60,225,197,5,2,67,4,160,52,106,8,5,0,3,10,3692,Amarela
15,51,57,248,204,7,5,64,5,205,42,114,3,6,2,0,5,3875,Vermelha
0,36,73,193,208,4,10,84,6,181,42,86,12,6,4,0,8,3560,Amarela
3,58,63,175,211,7,2,75,4,170,40,110,6,1,1,2,6,3366,Verde
20,56,51,180,205,1,11,98,0,168,70,87,9,7,0,0,9,3776,Vermelha
8,42,58,210,204,7,14,90,4,173,40,104,4,8,2,2,6,3622,Amarela
8,67,50,201,190,4,0,110,4,183,44,119,3,4,1,0,7,3549,Amarela
2,60,53,200,239,0,12,108,4,197,48,120,3,4,3,1,10,3725,Vermelha
13,37,64,196,212,6,9,73,8,172,69,103,19,6,2,1,7,4011,Vermelha
20,65,39,166,187,10,10,80,0,197,61,98,4,1,3,2,6,3507,Amarela
17,69,34,171,225,10,11,61,1,175,53,112,19,8,3,4,7,3697,Amarela
19,44,40,200,180,6,15,74,3,159,49,105,13,4,2,3,5,3607,Amarela
3,69,47,225,221,6,1,97,7,206,65,93,12,4,2,3,9,3852,Vermelha
10,49,50,201,223,4,13,60,4,167,53,86,10,3,2,3,6,3573,Amarela
19,66,63,193,233,4,5,93,1,178,49,89,16,0,0,1,7,3781,Vermelha
13,60,30,164,198,3,10,94,8,162,54,110,2,3,3,0,9,3326,Verde
4,42,37,240,221,7,6,120,2,167,66,107,17,0,4,3,5,3818,Vermelha
9,36,59,166,203,6,0,82,3,161,68,81,14,0,1,2,10,3404,Verde
7,62,32,248,200,10,0,94,1,189,56,100,4,6,2,2,9,3629,Amarela
9,45,51,225,201,5,2,91,5,179,56,110,10,8,3,0,7,3798,Vermelha
19,45,33,238,197,10,15,85,3,199,46,94,4,0,0,2,6,3569,Amarela
8,42,40,175,195,5,1,79,7,207,63,86,15,3,2,3,9,3368,Verde
17,55,72,197,194,9,15,84,1,158,69,87,14,0,2,3,9,4047,Vermelha
5,60,55,249,228,1,15,69,5,196,35,97,16,7,3,4,5,3918,Vermelha
1,47,38,181,182,3,6,102,3,194,62,111,2,6,2,2,7,3370,Verde
7,60,45,206,217,1,10,71,3,160,44,90,17,5,4,4,5,3573,Amarela
13,46,48,162,198,10,1,75,8,167,65,117,15,3,1,3,6,3584,Amarela
4,57,73,200,188,6,2,103,4,207,61,88,14,8,1,4,10,3893,Vermelha
15,42,38,180,182,10,8,71,2,166,39,105,17,2,3,3,9,3306,Verde
15,57,56,186,202,6,11,105,2,194,47,100,15,5,4,3,7,3772,Vermelha
17,54,56,235,231,1,12,87,8,163,42,102,15,6,4,1,5,4003,Vermelha
7,44,69,246,199,4,11,78,7,177,57,90,4,7,3,1,9,3983,Vermelha
9,38,38,183,227,2,1,110,7,188,55,93,17,2,1,3,7,3372,Verde
18,55,54,178,188,6,7,111,6,195,50,108,7,3,3,1,8,3664,Amarela
11,67,56,170,231,0,13,94,2,197,62,80,9,8,0,3,10,3720,Vermelha
8,59,60,204,181,4,12,88,7,206,55,100,5,1,1,3,6,3758,Vermelha
5,62,36,228,212,2,6,80,2,157,55,91,10,3,0,4,9,3529,Verde
19,63,30,212,241,5,14,83,6,170,36,119,10,4,2,4,6,3659,Amarela
11,48,37,244,241,5,9,75,3,193,68,100,6,5,0,0,5,3854,Vermelha
18,65,70,173,244,9,15,94,1,180,53,115,9,0,3,1,6,3984,Vermelha
19,58,40,218,249,4,9,103,6,156,62,97,13,6,0,1,8,3906,Vermelha
7,47,42,165,215,5,4,77,4,157,50,91,4,4,3,4,8,3141,Verde
17,38,35,214,245,4,15,108,5,189,68,99,2,5,0,4,6,3756,Vermelha
1,56,57,193,219,0,10,80,5,152,56,111,4,1,3,0,6,3602,Amarela
18,62,63,207,188,10,2,78,0,175,69,98,13,8,1,3,9,4038,Vermelha
15,69,69,247,227,9,4,81,6,156,46,109,16,5,0,1,8,4187,Vermelha
15,46,58,197,237,4,5,115,4,164,40,100,5,4,2,1,5,3551,Amarela
1,69,70,197,230,6,9,77,2,192,64,84,10,0,0,1,9,3815,Vermelha
4,35,52,162,180,4,5,103,1,168,44,111,9,5,2,3,8,3221,Verde
1,37,61,195,187,4,6,88,5,204,62,120,7,2,4,4,9,3711,Vermelha
10,43,45,171,180,0,11,109,8,160,50,114,18,8,4,1,5,3595,Amarela
2,45,56,240,198,3,5,68,4,156,55,84,12,6,3,1,10,3691,Amarela
10,45,71,210,203,9,7,108,4,201,55,85,2,5,2,2,8,3771,Vermelha
6,64,42,208,194,10,11,72,1,168,49,81,11,0,1,4,10,3428,Verde
8,35,36,239,246,4,5,78,1,203,55,102,8,5,1,0,5,3601,Amarela
12,57,34,232,206,2,13,90,7,184,47,116,2,3,0,0,10,3662,Amarela
13,53,57,164,232,0,5,84,5,179,58,91,8,5,0,4,10,3534,Amarela
0,47,55,241,194,4,6,93,0,160,49,98,2,8,2,3,6,3610,Amarela
16,44,32,182,214,9,0,72,2,180,37,84,15,3,1,4,9,3088,Verde
8,60,66,184,234,10,14,95,7,195,63,116,4,7,3,2,8,4029,Vermelha
15,69,35,177,217,0,1,78,2,204,62,119,15,4,1,2,9,3675,Amarela
13,64,59,167,195,10,13,99,2,194,45,106,10,0,0,0,10,3603,Amarela
15,70,59,179,183,4,9,114,5,162,49,86,6,5,2,4,6,3623,Amarela
3,37,44,200,193,3,3,67,0,182,46,92,11,7,3,0,5,3265,Verde
10,48,37,185,203,5,4,90,8,179,60,94,15,4,3,2,8,3492,Verde
6,67,39,189,234,4,7,87,8,209,41,86,14,5,3,2,5,3441,Verde
12,61,74,245,195,7,0,95,8,178,66,112,14,8,0,3,7,4355,Vermelha
15,40,43,163,235,8,10,111,2,186,45,105,5,7,4,1,6,3387,Verde
5,60,40,241,225,10,6,110,6,169,42,85,3,1,0,2,7,3453,Verde
2,39,36,238,185,2,9,110,2,161,64,92,19,5,0,3,8,3674,Amarela
13,70,38,177,229,6,10,84,4,155,64,99,12,8,2,2,8,3704,Vermelha
3,47,50,209,224,4,15,93,4,176,70,103,15,7,1,3,5,3930,Vermelha
10,52,48,243,221,7,14,67,7,168,44,104,3,0,4,3,5,3731,Vermelha
9,38,44,231,224,0,9,72,0,195,61,119,12,4,2,2,9,3852,Vermelha
5,69,31,243,192,4,10,114,0,178,56,93,17,0,4,4,7,3754,Vermelha
7,43,35,200,230,6,0,85,7,193,42,81,14,0,0,1,9,3159,Verde
3,36,37,227,201,9,14,93,7,202,37,107,8,0,3,4,7,3421,Verde
